Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_UI_GENERAL_CLOSE,Close,Close,Fermer,Cerrar,Close,Schließen,Закрыть,Close,Close,Close,Close
STR_UI_AUDIO_SOUNDSOURCES,Sound Sources,Sound Sources,Source audio,Dispositivos de audio,Sound Sources,Sound  Quellen,Источники звука,Sound Sources,Sound Sources,Sound Sources,Sound Sources
STR_UI_AUDIO_INPUTVOLUME,Input Volume,Input Volume,Volume d'entrée,Volumen de entrada.,Input Volume,Input Lautstärke,Чувствительность,Input Volume,Input Volume,Input Volume,Input Volume
STR_UI_AUDIO_AUTOADJUST,Auto Adjust,Auto Adjust,Réglage automatique,Auto ajuste,Auto Adjust,Automatisch einstellen,Автонастройка,Auto Adjust,Auto Adjust,Auto Adjust,Auto Adjust
STR_UI_VIDEO_OVERALQUALITY,Overall Quality,Overall Quality,Qualité Générale,Calidad general.,Overall Quality,Gesamtqualität,Уровень графики,Overall Quality,Overall Quality,Overall Quality,Overall Quality
STR_UI_VIDEO_TITLE,VIDEO,VIDEO,Vidéo,,VIDEO,VIDEO,Видео,VIDEO,VIDEO,VIDEO,VIDEO
STR_UI_VIDEO_RENDERING_RESOLUTION,Rendering Resolution,Rendering Resolution,Résolution du rendu,Resolución de renderizado.,Rendering Resolution,Darstellungs Auflösung,Разрешение,Rendering Resolution,Rendering Resolution,Rendering Resolution,Rendering Resolution
STR_UI_VIDEO_QUALITY_PRESETS,Overall quality level pre-sets,Overall quality level pre-sets,Réglages prédéfinis,Overall quality level pre-sets,Overall quality level pre-sets,Gesamtqualitäts Voreinstellungen,Пресеты общего уровня графики,Overall quality level pre-sets,Overall quality level pre-sets,Overall quality level pre-sets,Overall quality level pre-sets
STR_UI_VIDEO_3DRENDERING,3D rendering resolution of the scene,3D rendering resolution of the scene,Rendu 3D,Resolución 3D,3D rendering resolution of the scene,3D Darstellungs Auflösung,3D разрешение,3D rendering resolution of the scene,3D rendering resolution of the scene,3D rendering resolution of the scene,3D rendering resolution of the scene
STR_UI_VIDEO_BRIGHTNESS,Brightness,Brightness,Luminosité,Brillo,Brightness,Helligkeit,Яркость,Brightness,Brightness,Brightness,Brightness
STR_UI_VIDEO_SCENE_BRIGHTNESS,Overall scene brightness level,Overall scene brightness level,Luminosité générale,Nivel general de brillo,Overall scene brightness level,Overall scene brightness level,Общий уровень яркости,Overall scene brightness level,Overall scene brightness level,Overall scene brightness level,Overall scene brightness level
STR_UI_VIDEO_GAMMA,Gamma,Gamma,Gamma,Corrección gamma,Gamma,Gamma,Гамма,Gamma,Gamma,Gamma,Gamma
STR_UI_VIDEO_GAMMA_OVERALL,Overall scene gamma level,Overall scene gamma level,Niveau Gamma général,,Overall scene gamma level,Overall scene gamma level,Общий уровень гаммы,Overall scene gamma level,Overall scene gamma level,Overall scene gamma level,Overall scene gamma level
STR_UI_VIDEO_VSYNC_TOGGLE,Vertical sync. toggle,Vertical sync. toggle,Synchronisation verticale - activé/désactivé,Sincronización vertical. Activar/Desactivar,Vertical sync. toggle,Vertikale synchronisation ein/aus,Верт. синхронизация вкл\выкл,Vertical sync. toggle,Vertical sync. toggle,Vertical sync. toggle,Vertical sync. toggle
STR_UI_VIDEO_VSYNC,VSync,VSync,VSync,Sincronización vertical.,VSync,VSync,VSync,VSync,VSync,VSync,VSync
STR_UI_UI_TITLE,User Interface...,User Interface...,Interface d'utilisateur,Interfaz de usuario.,User Interface...,Benutzer Interface,Интерфейс пользователя,User Interface...,User Interface...,User Interface...,User Interface...
STR_UI_UI_DESC,"Change resolution, size and aspect ratio here.","Change resolution, size and aspect ratio here.",Changement résolution et format d'image,"Cambiar resolución, tamaño y radio de aspecto","Change resolution, size and aspect ratio here.","Ändere hier Auflösung, Größe und Seitenverhältnis","Настройки разрешения, размера и пропорций.","Change resolution, size and aspect ratio here.","Change resolution, size and aspect ratio here.","Change resolution, size and aspect ratio here.","Change resolution, size and aspect ratio here."
STR_UI_TEXTURES_TITLE,Textures...,Textures...,Textures...,Textura...,Textures...,Texturen...,Текстуры...,Textures...,Textures...,Textures...,Textures...
STR_UI_TEXTURES_DESC,"Change video memory, texture detail and filtering here.","Change video memory, texture detail and filtering here.","Changement mémoire vidéo, texture et filtre","Cambiar memoria de video, detalle de textura y filtros.","Change video memory, texture detail and filtering here.","Ändere hier Grafikspeicher, Texturen Detail und Filterlevel","Настройки видеопамяти, текстур и фильтрации.","Change video memory, texture detail and filtering here.","Change video memory, texture detail and filtering here.","Change video memory, texture detail and filtering here.","Change video memory, texture detail and filtering here."
STR_UI_QUALITY_TITLE,Quality...,Quality...,Qualité,Calidad...,Quality...,Qualität...,Качество...,Quality...,Quality...,Quality...,Quality...
STR_UI_QUALITY_DESC,"Change the quality of objects, terrain, clouds and shadows here.","Change the quality of objects, terrain, clouds and shadows here.","Changement qualité objets, terrain, nuages et ombres","Cambiar la calidad de los objetos, terreno, nubes y sombras.","Change the quality of objects, terrain, clouds and shadows here.","Ändere hier die Qualität von Objekten, Terrain, Wolken und Schatten","Настройки качества объектов, ландшафта, облаков и теней","Change the quality of objects, terrain, clouds and shadows here.","Change the quality of objects, terrain, clouds and shadows here.","Change the quality of objects, terrain, clouds and shadows here.","Change the quality of objects, terrain, clouds and shadows here."
STR_UI_RENDERING_TITLE,Rendering...,Rendering...,Rendu...,Renderizado...,Rendering...,Rendering...,Рендер...,Rendering...,Rendering...,Rendering...,Rendering...
STR_UI_RENDERING_DESC,Change postprocessing effects here.,Change postprocessing effects here.,Changements effets postprocessing,Cambiar efectos de postprocesado.,Change postprocessing effects here.,Ändere hier Postprozess Effekte,Настройки эффектов постобработки,Change postprocessing effects here.,Change postprocessing effects here.,Change postprocessing effects here.,Change postprocessing effects here.
STR_UI_CHARACTER_TEXT_DESC,This will be your default character. You can change this at any time and the character will be created when you respawn.,This will be your default character. You can change this at any time and the character will be created when you respawn.,Ce sera votre personnage par défaut. Vous pouvez le modifier à tout moment et le personnage sera créé lorsque vous réapparaissez.,Este será tu personaje por defecto. Puedes cambiarlo en cualquier momento y el personaje será creado cuando reaparezcas,This will be your default character. You can change this at any time and the character will be created when you respawn.,Dies ist dein Standartcharakter. Du kannst ihn jederzeit ändern. Er wird erstellt wenn du neu spawnst.,Это ваш персонаж по умолчанию. Его можно изменить в любое время. Он будет использоваться перед каждой новой игрой.,This will be your default character. You can change this at any time and the character will be created when you respawn.,This will be your default character. You can change this at any time and the character will be created when you respawn.,This will be your default character. You can change this at any time and the character will be created when you respawn.,This will be your default character. You can change this at any time and the character will be created when you respawn.
STR_UI_CHARACTER_CHARACTER,CHARACTER,CHARACTER,PERSONNAGE,CHARACTER,CHARACTER,CHARAKTER,ПО УМОЛЧАНИЮ,CHARACTER,CHARACTER,CHARACTER,CHARACTER
STR_UI_CHARACTER_DEFAULT,DEFAULT,DEFAULT,PAR DEFAUT,DEFAULT,DEFAULT,STANDART,ПЕРСОНАЖ,DEFAULT,DEFAULT,DEFAULT,DEFAULT
IDS_MSG_CONFIRM_RESPAWN_CLIENT,Are you sure you would like to respawn? This will kill your current character.,Are you sure you would like to respawn? This will kill your current character.,Etes vous sur de vouloir réaparaître? Cela tuera votre personnage ,¿Seguro que quieres reaparecer? Tu personaje actual morirá.,Are you sure you would like to respawn? This will kill your current character.,Are you sure you would like to respawn? This will kill your current character.,"Вы уверены, что хотите начать заново? Ваш текущий персонаж погибнет.",Are you sure you would like to respawn? This will kill your current character.,Are you sure you would like to respawn? This will kill your current character.,Are you sure you would like to respawn? This will kill your current character.,Are you sure you would like to respawn? This will kill your current character.
STR_UI_CHARACTER_SKIN_DESC,Select the skin tone of your character,Select the skin tone of your character,Selectionner la couleur de peau de votre personnage.,Selecciona el tono de piel de tu personaje:,Select the skin tone of your character,Wähle die Hautfarbe deines Charakters:,Выберите цвет кожи вашего персонажа,Select the skin tone of your character,Select the skin tone of your character,Select the skin tone of your character,Select the skin tone of your character
STR_UI_CHARACTER_SKIN,Skin,Skin,Peau:,Piel:,Skin,Haut:,Цвет кожи:,Skin,Skin,Skin,Skin
STR_UI_CHARACTER_GENDER_DESC,Select the gender type of your character,Select the gender type of your character,Selectionner le sexe de votre personnage,Selecciona el género de tu personaje,Select the gender type of your character,Wähle das Geschlecht deines Charakteres aus,Выберите пол персонажа,Select the gender type of your character,Select the gender type of your character,Select the gender type of your character,Select the gender type of your character
STR_UI_CHARACTER_GENDER,Gender,Gender,Sexe:,Género,Gender,Geschlecht,Пол,Gender,Gender,Gender,Gender
STR_UI_CHARACTER_PANTS_DESC,Select default pants for your character,Select default pants for your character,Selectionner un pantalon par défaut pour votre personnage,Selecciona el tipo de pantalón por defecto de tu personaje:,Select default pants for your character,Wähle die Standart Hose für deinen Charakter,Выберите штаны для персонажа по умолчанию,Select default pants for your character,Select default pants for your character,Select default pants for your character,Select default pants for your character
STR_UI_CHARACTER_PANTS,Pants,Pants,Pantalon:,Pantalón:,Pants,Hosen,Штаны,Pants,Pants,Pants,Pants
STR_UI_CHARACTER_TOP_DESC,Select a default shirt for your character,Select a default shirt for your character,Selectionner un haut par défaut pour votre personnage,Selecciona la camiseta por defecto de tu personaje,Select a default shirt for your character,Wähle ein Standart Shirt für deinen Charakter,Выберите одежду для торса по умолчанию,Select a default shirt for your character,Select a default shirt for your character,Select a default shirt for your character,Select a default shirt for your character
STR_UI_CHARACTER_TOP,Top,Top,Haut:,Parte superior:,Top,Oberteil,Торс,Top,Top,Top,Top
STR_UI_CHARACTER_SETDEFAULT_DESC,Saves default character,Saves default character,Enregistrer le personnage par défaut,Saves default character,Saves default character,Als Standartcha,Сохранить изменения персонажа по умолчанию,Saves default character,Saves default character,Saves default character,Saves default character
STR_UI_CHARACTER_SETDEFAULT,Set Default,Set Default,Par défaut,Por defecto:,Set Default,Zurücksetzen auf Standart,Сохранить,Set Default,Set Default,Set Default,Set Default
STR_UI_CHARACTER_SHOES_DESC,Select default shoes for your character,Select default shoes for your character,Selectionner les chaussures par défaut pour votre personnage,Selecciona el tipo de calzado por defecto de tu personaje,Select default shoes for your character,Wähle die Standart Schuhe für deinen Charakter,Выберите обувь для персонажа по умолчанию,Select default shoes for your character,Select default shoes for your character,Select default shoes for your character,Select default shoes for your character
STR_UI_CHARACTER_SHOES,Shoes,Shoes,Chaussures:,Calzado:,Shoes,Schuhe,Обувь,Shoes,Shoes,Shoes,Shoes
STR_UI_CHARACTERS,CHARACTERS,CHARACTERS,PERSONNAGES,PERSONAJES,CHARACTERS,CHARAKTERE,ПЕРСОНАЖИ,CHARACTERS,CHARACTERS,CHARACTERS,CHARACTERS
STR_UI_GENERAL_BACK,Back,Back,Back,Volver,Back,Zurück,Назад,Back,Back,Back,Back
STR_UI_GENERAL_RETURN_MAINMENU,Return to Main Menu,Return to Main Menu,Retour au menu principale,Volver al menú principal,Return to Main Menu,Zurück zum Hauptmenü,Вернуться в главное меню,Return to Main Menu,Return to Main Menu,Return to Main Menu,Return to Main Menu
STR_UI_OPTIONS_FIELDOFVIEW,Field of View,Field of View,Champ de vision,Field of View,Field of View,Sichtfeld,Угол обзора,Field of View,Field of View,Field of View,Field of View
STR_UI_OPTIONS_VOLUME,Volume,Volume,Volume,Volumen,,Lautstärke,Громкость,Volume,Volume,Volume,Volume
STR_UI_OPTIONS_CONFIGURE,CONFIGURE,CONFIGURE,CONFIGURER,CONFIGURAR,CONFIGURE,KONFIGURIEREN,КОНФИГУРАЦИЯ,CONFIGURE,CONFIGURE,CONFIGURE,CONFIGURE
STR_UI_OPTIONS_GAME,Game,Game,Jeu,juego,Game,Spiel,Игра,Game,Game,Game,Game
STR_UI_OPTIONS_VOIP,VOIP,VOIP,VOIP,VOIP,VOIP,VOIP,VOIP,VOIP,VOIP,VOIP,VOIP
STR_UI_OPTIONS_MASTERVOLUME,Master Volume,Master Volume,Volume principal,Master Volume,Master Volume,Gesamtlautstärke,Громкость,Master Volume,Master Volume,Master Volume,Master Volume
STR_UI_OPTIONS_EFFECTS,Effects,Effects,Effets,Efecto,Effects,Effekte,Эффекты,Effects,Effects,Effects,Effects
STR_UI_OPTIONS_MUSIC,Music,Music,Musique,Música,Music,Musik,Музыка,Music,Music,Music,Music
STR_UI_OPTIONS_CONTROLS_MENU,Controls...,Controls...,Contrôles,Controles,Controls...,Steuerung,Управление...,Controls...,Controls...,Controls...,Controls...
STR_UI_OPTIONS_CONTROLS_MENU_DESC,Set controllers settings here.,,Réglages manettes,Set controllers settings here.,Set controllers settings here.,Stellen Controller ein,Настройки управления.,Set controllers settings here.,Set controllers settings here.,Set controllers settings here.,Set controllers settings here.
STR_UI_OPTIONS_VIDEO_MENU,Video...,Video...,Le video…..,Vídeo...,Video,Video,Видео...,Video,Video,Video,Video
STR_UI_OPTIONS_VIDEO_MENU_DESC,"Set visibility, details or resolution here.","Set visibility, details or resolution here.","Régler visibilité, détails et résolution","Set visibility, details or resolution here.","Set visibility, details or resolution here.","Stelle hier Sichtbarkeit, Details und Auflösung ein","Настройки видимости, детализации или разрешения.","Set visibility, details or resolution here.","Set visibility, details or resolution here.","Set visibility, details or resolution here.","Set visibility, details or resolution here."
$STR_UI_MAIN_EXIT_DESC,Exit to Windows,Exit to Windows,Retour à Windows,Exit to Windows,Exit to Windows,,Выход в Windows,Exit to Windows,Odejít do Windows,Exit to Windows,Exit to Windows
$STR_COPYRIGHT_DISCLAIMER,Copyright © 2013 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.,Copyright © 2013 Bohemia Interactive. Created by Dean Hall. All Rights Reserved.,Droit d’auteur © 2013 Bohemia Interactive. Crée par Dean Hall. Tous droits réservés.,,,,Copyright © 2013 Bohemia Interactive. Автор проекта Дин Холл. Все права защищены.,,,,
$STR_UI_MAIN_CONFIGURE_DESC,Configure DayZ settings,Configure DayZ settings,Configurer les paramètres de DayZ,Configure DayZ settings,Configure DayZ settings,DayZ Einstellungen konfigurieren,Конфигурация настроек DayZ,Configure DayZ settings,Změnit nastavení DayZ,Configure DayZ settings,Configure DayZ settings
$STR_UI_MAIN_EXIT,Exit,Exit,Quitter,Salir,Exit,Beenden,Выход,Exit,Konec,Exit,Exit
$STR_UI_MAIN_CHARACTER_TOOLTIP,Hold mouse button and move to rotate character,Hold mouse button and move to rotate character,Maintenez le bouton de la souris enfoncé et déplacez pour faire tourner le personnage,Mantén el botón del raton y muevelo para rotar el personaje,,,Вращение персонажа осуществляется мышкой с зажатой кнопкой,,Pro otáčení postavy podrž tlačítko myši a táhni,,
$STR_UI_MAIN_PLAY,Play,Play,Jouer,Juega,Play,Spielen,Играть,Play,Hrát,Play,Play
$STR_UI_MAIN_CHARACTER,Character,Character,Personnage,Character,Character,Charakter,Персонаж,Character,Postava,Character,Character
$STR_UI_MAIN_PLAY_DESC,Start playing DayZ,Start playing DayZ,Commencez à jouer DayZ,Start playing DayZ,Start playing DayZ,DayZ spielen,Начать игру в DayZ,Start playing DayZ,Začít hrát DayZ,Start playing DayZ,Start playing DayZ
STR_UI_MAIN_CHARACTER_TOOLTIP,Hold mouse button and move to rotate character,Hold mouse button and move to rotate character,Maintenez le bouton de la souris enfoncé et déplacez pour faire tourner le personnage,Mantén el botón del raton y muevelo para rotar el personaje,Hold mouse button and move to rotate character,Halte Maustaste gedrückt um den Charakter zu rotieren,Вращение персонажа осуществляется мышкой с зажатой кнопкой,Hold mouse button and move to rotate character,Pro otáčení postavy podrž tlačítko myši a táhni,Hold mouse button and move to rotate character,Hold mouse button and move to rotate character
STR_UI_MAIN_PLAY,Play,Play,Jouez,Juega,Play,Spielen,Играть,Play,Hrát,Play,Play
STR_UI_MAIN_PLAY_DESC,Start playing DayZ,Start playing DayZ,Commencez à jouer DayZ,Comienza a jugar DayZ,Start playing DayZ,DayZ spielen,Начать игру в DayZ,Start playing DayZ,Začít hrát DayZ,Start playing DayZ,Start playing DayZ
STR_UI_MAIN_CHARACTER,Character,Character,Personnage,Personaje,Character,Charakter,Персонаж,Character,Postava,Character,
$STR_UI_MAIN_CONFIGURE,Configure,Configure,Configurer,Configurar,Configure,Konfigurieren,Конфигурация,Configure,Nastavení,Configure,Configure
$STR_UI_MAIN_CHANGESERVER_DESC,Start playing DayZ,Start playing DayZ,Commencez à jouer à DayZ,,Start playing DayZ,Konfigurieren,Начать игру в DayZ,Start playing DayZ,Začít hrát DayZ,Start playing DayZ,Start playing DayZ
$STR_UI_MAIN_CHANGESERVER,Change server,Change server,Changer de serveur,Change server,Change server,Server wechseln,Сменить сервер,Change server,Změnit server,Change server,Change server
$STR_UI_MAIN_CHARACTER_DESC,Review your character,Review your character,Passer en revue votre personnage.,Review your character,Review your character,Charaktereinstellungen,Обзор вашего персонажа,Review your character,Prohlédni si svou postavu,Review your character,Review your character
STR_UI_MAIN_CONFIGURE_DESC,Configure DayZ settings,Configure DayZ settings,Configurer les paramètres de DayZ,Configurar DayZ,Configure DayZ settings,DayZ Einstellungen konfigurieren,Конфигурация настроек DayZ,Configure DayZ settings,Změnit nastavení DayZ,Configure DayZ settings,Configure DayZ settings
STR_UI_MAIN_EXIT,Exit,Exit,Quitter,Salir,Exit,Beenden,Выход,Exit,Konec,Exit,Exit
STR_UI_MAIN_EXIT_DESC,Exit to Windows,Exit to Windows,Retour à Windows,Salir a windows,Exit to Windows,Beenden und zu Windows,Выход в Windows,Exit to Windows,Odejít do Windows,Exit to Windows,Exit to Windows
STR_UI_MAIN_CHARACTER_DESC,Review your character,Review your character,Passer en revue votre personnage.,Revisar tu personaje,Review your character,Charaktereinstellungen,Обзор персонажа,Review your character,Prohlédni si svou postavu,Review your character,Review your character
STR_UI_MAIN_CHANGESERVER,Change server,Change server,Changer de serveur,Comienza a jugar DayZ,Change server,Server wechseln,Сменить сервер,Change server,Změnit server,Change server,Change server
STR_UI_MAIN_CHANGESERVER_DESC,Start playing DayZ,Start playing DayZ,Commencez à jouer à DayZ,Start playing DayZ,Start playing DayZ,Anfangen zu spielen DayZ,Начать игру в DayZ,Start playing DayZ,Začít hrát DayZ,Start playing DayZ,Start playing DayZ
STR_UI_MAIN_CONFIGURE,Configure,Configure,Configurer,Configurar,Configure,Konfigurieren,Конфигурация,Configure,Nastavení,Configure,Configure
STR_DN_RIFLE,Rifle,Rifle,,,,,,,,,
STR_DN_M107,M107,M107,,,,,,,,,
STR_ITEMTRANSMITTER,Transmitter,Transmitter,,,,,Рация,,,,
STR_DN_COCK,Rooster,Rooster,Coq,Gallo,Gallo,Hahn,Петух,Kogut,Kohout,Kakas,Rooster
STR_DN_COW,Cow,Cow,Vache,Vaca,Mucca,Kuh,Корова,Krowa,Kráva,Tehén,Cow
STR_DN_COW01,Cow (Brown/White),Cow (Brown/White),Vache (brun et blanc),Vaca (blanca y marrón),Mucca (marrone e bianca),Kuh (braun&weiß),Бело-коричневая корова,Krowa (białobrązowa),"Kráva (hnědá, bílá)",Tehén (barna tarka),Cow (Brown/White)
STR_DN_COW02,Cow (Brown),Cow (Brown),Vache (brun),Vaca (marrón),Mucca (marrone),Kuh braun,Коричневая корова,Krowa (brązowa),Kráva (hnědá),Tehén (barna),Cow (Brown)
STR_DN_COW03,Cow (Black),Cow (Black),Vache (noir),Vaca (negra),Mucca (nera),Kuh schwarz,Черная корова,Krowa (czarna),Kráva (černá),Tehén (fekete),Cow (Black)
STR_DN_COW04,Cow (Black/White),Cow (Black/White),Vache (noir et blanc),Vaca (blanca y negra),Mucca (bianca e nera),Kuh (schwarz&weiß),Черно-белая корова,Krowa (czarnobiała),"Kráva (černá, bílá)",Tehén (fekete és fehér),Cow (Black/White)
STR_DN_DOG_FIN,Mongrel,Mongrel,Chien bâtard,Aleta,Bastardino,Mischlinghund,Собака,Kundel,Psisko,Korcs,Mongrel
STR_DN_DOG_PASTOR,Alsatian,Alsatian,Chien de berger,Pastor,Pastore,Schäferhund,Овчарка,Owczarek,Německý ovčák,Farkaskutya,アルザシアン
STR_MISC_SR_BORDER,Yellow border,Yellow border,Limite jaune,Frontera amarilla,Frontiera gialla,Gelbe Leiste,Желтая граница,Żółta granica,Žlutá hranice,Sárga határ,Yellow border
STR_MISC_UNWRAPPED_SLEEPING_BAG,Sleeping bag (unwrapped),Sleeping bag (unwrapped),Sac couchage (déroulé),Saco de dormir (desenvuelto),Sacco a pelo (aperto),Schlafsack (ausgerollt),Развернутый спальный мешок,Śpiwór (rozłożony),Spacák (zabalený),Hálózsák (kibontva),Sleeping bag (unwrapped)
STR_MISC_WHEEL_BARROW,Wheel-barrow,Wheel-barrow,Brouette,Carretilla,Carriola,Schubkarre,Тачка,Taczka,Trakař,Talicska,Wheel-barrow
STR_MISC_WOODEN_BARREL,Wooden barrel,Wooden barrel,Tonneau,Barril de madera,Bidone di legno,Holzfass,Деревянная бочка,Drewniana beczka,Dřevěný sud,Fa hordó,Wooden barrel
STR_MISC_WOODEN_BARRELS,Wooden barrels,Wooden barrels,Tonneaux,Barriles de madera,Bidoni di legno,Holzfässer,Деревянные бочки,Drewniane beczki,Dřevěné sudy,Fa hordók,Wooden barrels
STR_MISC_ZAVORAANIM,Bar gate,Bar gate,Barrière,Barra de acceso,Barriera,Schranke (offen),Ворота,Zakratowana brama,Závora,Rácskapu,バー・ゲート
STR_WAGON_FLAT,Wagon Flat,Wagon Flat,Wagon plateau,Vagón plano,Vagone piatto,Waggon (Flach),Железнодорожная платформа,Wagon platforma,Vagón,Lapos kocsi,Wagon Flat
STR_WAGON_TANKER,Wagon Tanker,Wagon Tanker,Wagon-citerne,Vagón tanque,Vagone cisterna,Waggon (Tank),Железнодорожная цистерна,Wagon cysterna,Vagón (cisterna),Tanker kocsi,Wagon Tanker
STR_EP1_DN_SHEEP02_EP1,Sheep (Yellow),Sheep (Yellow),Mouton (jaune),Oveja (amarilla),Pecora (gialla),Schaf (gelb),Овца (желт.),Owca (żółta),Ovce (žlutá),Sheep (Yellow),Sheep (Yellow)
STR_EP1_DN_SHEEP01_EP1,Sheep (Brown),Sheep (Brown),Mouton (brun),Oveja (marrón),Pecora (marrone),Schaf (braun),Овца (кор.),Owca (brązowa),Ovce (hnědá),Sheep (Brown),Sheep (Brown)
